text,polarity_score,sentiment,sentiment_label
Post ka creativity level bohot high tha UK.,14,1,Positive
khube e vlo akta jinesh thanks you daraz,10,1,Positive
Movie ka ek hissa boring tha lekin baaki maza aaya.,0,0,Negative
charger backup khub e kom,7,0,Negative
Deal ki price reasonable thi Australia.,14,1,Positive
Package kharab tha par product achha tha.,3,2,Neutral
Bad customer service se naraaz hu.,2,2,Neutral
Show ke dialogues mein thodi kami thi thoda bekar laga UK.,5,0,Negative
The whole experience left me frustrated.,4,2,Neutral
Show ka acting outstanding tha Pakistan.,14,1,Positive
Bahut shikayat hai.,2,2,Neutral
Mujhe deal nahi pasand aayi Singapore.,1,2,Neutral
Show ke visuals vibrant aur engaging the France.,14,1,Positive
Delivery time thoda late tha.,5,0,Negative
Customer assistance lacks professionalism.,4,2,Neutral
Delivery process smooth tha time par product mila.,1,1,Positive
Twitter par mila feedback diverse tha lekin overall positive vibe thi USA.,14,1,Positive
Show ki direction impactful thi storytelling strong thi Pakistan.,14,1,Positive
Deal se mujhe fayda hua USA.,14,1,Positive
Great product highly recommended!,14,1,Positive
Deal ka customer service acha tha Canada.,14,1,Positive
Movie ka storyline bahut zabardast tha South Africa.,14,1,Positive
Bahut hi bekaar product tha.,1,2,Neutral
product mota muti valo but packaging khub kharap selo,7,0,Negative
valo sobai nite paren ami onek gula nisi,7,0,Negative
vai ektuo valo na kao ata nito na,7,0,Negative
Social media post ne bohot accha response diya.,1,1,Positive
Ek dum mast product!,14,1,Positive
Support responses were slow and unhelpful.,3,2,Neutral
Product ke color mein thoda fark tha Egypt.,5,0,Negative
Show ka pacing slow tha USA.,5,0,Negative
just looking like a wow,12,1,Positive
Post par mila positive feedback ne content ko value di Canada.,14,1,Positive
kom dam a valo produced sobi nita paran,7,0,Negative
"alhamdulliah products vlo
sobai nite paren",7,0,Negative
Show ke dialogues mein kami thi thoda bekar laga UK.,5,0,Negative
Bohot time laga delivery mein.,4,2,Neutral
Deal ki details confusing thi Singapore.,3,2,Neutral
Post ki language clear aur concise thi Germany.,14,1,Positive
Customer support thik-thak thi India.,7,0,Negative
Post par mila deal bahut hi acha tha India.,14,1,Positive
Delivery quick thi packaging bhi secure thi Pakistan.,14,1,Positive
Users often find the support and documentation lacking.,10,0,Negative
Post mein thodi hatt ke baatein thi Australia.,7,0,Negative
Product ki packaging secure thi delivery timely hui USA.,14,1,Positive
Telegram group mein delivery updates timely the Singapore.,14,1,Positive
Bahut accha laga mujhe pasand aaya.,13,1,Positive
Mujhe kuch khas niraasha hui product se.,3,2,Neutral
Product reviews genuine the customer satisfaction clearly dikh raha tha.,1,1,Positive
Poorly managed helpdesk experiences.,2,2,Neutral
Show ke costumes thoda outdated lage UK.,5,0,Negative
Product ke color mein thoda fark tha.,5,0,Negative
Deal ki price thodi zyada thi UK.,5,0,Negative
Show ke visuals aur cinematography kaafi impressive the France.,14,1,Positive
Post manage karne mein thodi dikkat hui Brazil.,4,2,Neutral
Movie ke kuch scenes emotional the jo dil ko chhoo gaye.,1,1,Positive
Customers often left without solutions.,3,2,Neutral
product onek valo order korar 5 din por hate pelamekhno use kore dekbo kemon,2,2,Neutral
Deal packaging secure thi product safe tha.,1,1,Positive
Kuch khas nahi average hi tha.,7,0,Negative
Post ka layout well designed tha Brazil.,14,1,Positive
Kharab service ne bahut gussa dilaaya.,1,2,Neutral
Show ke dialogues mein thodi kami thi disappointment hui UK.,4,2,Neutral
Post content informative aur engaging tha Australia.,14,1,Positive
Product ka color thoda alag tha.,6,0,Negative
Post ka design creative tha. Australia.,14,1,Positive
Deal ki return aur refund policy simple thi Singapore.,14,1,Positive
dame onujai product ta onk vlo sobai nita paren,7,0,Negative
User frustration mounts due to poor service.,3,2,Neutral
Support representatives often lack knowledge.,3,2,Neutral
ai price ar vitore chole kharap na,7,0,Negative
Show ka last episode disappointing tha France.,2,2,Neutral
product hate pailam daki kemon,2,2,Neutral
vai ai ta mota moti valo ache apnra nite paren kono somossa nai,4,2,Neutral
Too many obstacles to getting help.,4,2,Neutral
Overall dissatisfaction with product and service.,3,2,Neutral
Post ki photos kaafi creative thi USA.,14,1,Positive
sound quality overall budget friendly but j cable ta diacen ai tay crg uthe nah,7,0,Negative
Movie ke characters relatable the kahani emotionally touching thi.,1,1,Positive
Deal ki delivery fast thi Pakistan.,14,1,Positive
Customer queries often put on hold too long.,3,2,Neutral
Price kam hona chahiye.,3,2,Neutral
Show ke costumes bahut behtareen the India.,14,1,Positive
Fatafat delivery hui khush hu.,14,1,Positive
Post par mila unwanted spam USA.,2,2,Neutral
Repeated service interruptions frustrate customers.,2,2,Neutral
Customer support is frequently unavailable.,2,2,Neutral
Many bugs adversely affect daily business operations.,7,2,Neutral
charge kom thake sound quality tmn valo na normally use r jnno thik ase heavy sound o na abar kom o na mediumbola jay cole kono rokom,7,0,Negative
anc supported na quality o average onek beshi valo naa review dkhei nisilam but disappointed,3,2,Neutral
Product kitne dino mein deliver hua?,7,0,Negative
Quality bilkul perfect thi.,14,1,Positive
Show ke kuch parts mein thoda suspense ki kami thi.,0,0,Negative
Product bahut accha laga mujhe.,14,1,Positive
product valo but charge theke na minimum 30 minute change take,7,0,Negative
Problem jaldi solve hui.,12,1,Positive
price onujai product valoi akhon dekhar bishoy charge kototuku back up day,7,0,Negative
khov valo akta product ai bajet ar modhe,7,0,Negative
Satisfied with the purchase.,13,1,Positive
Post ki design bohot attractive thi Canada.,14,1,Positive
Deal ki validity limited thi thoda niraash gaya Singapore.,3,2,Neutral
Very neutral feelings about the event.,7,0,Negative
Post par di gayi information helpful lagi Brazil.,13,1,Positive
Sab kuch best hai.,14,1,Positive
Deal ke terms clear the lekin thoda complicated lagta tha Singapore.,4,2,Neutral
Delivery time sahi tha.,12,1,Positive
Deal ki shipping thodi der se hui Pakistan.,6,0,Negative
faltu keo niyen na plsds,7,0,Negative
Show ki direction mai improvements ki zarurat thi India.,4,2,Neutral
Show mein comedy kaafi achhi thi India.,14,1,Positive
Service centers often understaffed and unprofessional.,4,2,Neutral
Movie ke actors ne zabardast performance di Pakistan.,14,1,Positive
Post ka visual appeal high tha Brazil.,14,1,Positive
Show ka script thoda weak laga expectations poore nahi hue India.,4,2,Neutral
"alhamdulilla valo akta prodacted paiche 
sound baje 100 ta 96",7,0,Negative
Poor packaging ne product ko kharab kar diya.,1,2,Neutral
sholpo mulle khubi valo akta product peyechi charging back up 3 hours price onujai valo legeche,7,0,Negative
Shipping mein thodi der hui.,6,0,Negative
ei dame khub bhalo ekta product ami kisu larsent discount e nisilam apnarao nite paren,7,0,Negative
alhumdullilah motamoti valo but case charge thakei na,7,0,Negative
Deal ki validity exceed ho gayi thi jawab nahi mila frustrating experience Italy.,1,2,Neutral
Fatafat delivery hui khush hu.,14,1,Positive
Delivery mein der thi par quality achhi hai.,7,0,Negative
Support team rude thi disappointed.,1,2,Neutral
Displeased with the current changes.,2,2,Neutral
khubi valo ekti product shob thik thak chilo,7,0,Negative
Support staff rude tha.,1,2,Neutral
Twitter trend pe dekha maza aaya logon ne achhi discussion ki.,14,1,Positive
alhamdulillah product quality is good price onujayi thik ache affordable option for regular uses,7,0,Negative
sooo goodtaka hisabay onk vlo,7,0,Negative
Movie ka climax bohot thrilling tha mujhe bohot pasand aaya USA.,14,1,Positive
Delivery track karna simple tha update bhi timely aate rahe.,14,1,Positive
amar ta valo na charge taka na akta valo ar akta valo na nosto,7,0,Negative
Post ka interface bohot user-friendly tha USA.,14,1,Positive
Kharab packing se product damage ho gaya.,1,2,Neutral
Show ka pacing slow tha USA.,5,0,Negative
Show ke acting mein thoda improvement chahiye Pakistan.,4,2,Neutral
Price thoda zyada hai.,5,0,Negative
jars airpods ai bar pothom bebohar kortaso tara nite paro amar kase valo lage nai akdom baje ar thike akta tar ala headphones niya valo silo,7,0,Negative
"this is so good 
prize hisabe khob balo",12,1,Positive
Bahut achha product hai recommended!,14,1,Positive
Movie ka pace thoda slow tha lekin performance ne cover kiya Pakistan.,6,0,Negative
The product did not meet expectations.,2,2,Neutral
same as a picture thank you daraz and seller headphone ta te bass khub kom,9,1,Positive
Kharab quality se bekar lag raha hai.,2,2,Neutral
Show mein kuch scenes thode confused kar dene wale the clarity better ho sakti thi UK.,5,0,Negative
Product ke flaws the lekin use karne mein problem nahi hui.,0,0,Negative
Bohot disappoint hua.,1,2,Neutral
Show ke dialogues mein kuch kami thi disappointing tha UK.,5,0,Negative
Deal ki price thodi zyada thi UK.,5,0,Negative
Maine dobara nahi kharida.,2,2,Neutral
asolei onk vlo akta products thank you seller bhai,9,1,Positive
Deal ka customer support madadgar tha Australia.,14,1,Positive
Post ne samajhne mein madad ki India.,14,1,Positive
Support agents provide poorly researched solutions.,2,2,Neutral
Product theek tha.,8,0,Negative
Movie ki script quality thodi weak thi kuch loopholes the UK.,6,0,Negative
Item defective aaya.,1,2,Neutral
Worst experience ever do not buy!,2,2,Neutral
Post mein thodi hatt ke baatein thi Australia.,7,0,Negative
Support team bahut rude thi.,1,2,Neutral
Bahut accha customer service.,13,1,Positive
Movie ke kuch dialogues mujhe bore kar gaye Canada.,5,0,Negative
Product use karne mein comfortable hai.,14,1,Positive
Show ki direction mehengi lagi Pakistan.,5,0,Negative
Product quality pe thoda aur dhyan dena chahiye.,6,0,Negative
Customer support frequently bonds and delays issue resolutions.,11,0,Negative
Movie ke characters realistic aur relatable lage USA.,14,1,Positive
Deal ki shipping timely thi delivery efficient thi Pakistan.,14,1,Positive
Deal ki price bahut affordable thi Canada.,14,1,Positive
Not happy with the service provided.,2,2,Neutral
Post par acche se engagement mila feedback bhi positive tha Brazil.,14,1,Positive
onek sundor ekai products sobai nite paren delivery man er bebohar onek valo,7,0,Negative
Show se inspiration mili Canada.,14,1,Positive
Bohot bekaar packing thi.,1,2,Neutral
Post par mila positive feedback Canada.,14,1,Positive
Product ki quality dheemi hai.,3,2,Neutral
Many service promises remain unfulfilled.,2,2,Neutral
The overall user experience has significantly declined.,9,0,Negative
Delivery mein thoda delay hua tha.,7,0,Negative
product ti onk vlo jamon dekhace tamon e paice chaile apnara nite parben,7,0,Negative
Packaging ki wajah se product toot gaya.,2,2,Neutral
this airpod is perfect for daily uses sound quality is good and also charge long lasting stay and lastly i say seller vaiya onk valo thank u vaiya,12,1,Positive
product ta asol ay joss,7,0,Negative
Show ke songs pasand kiye gaye India.,14,1,Positive
Just received my order everything looks perfect and on time.,14,1,Positive
Frequently experiencing crashes and errors.,3,2,Neutral
Post ka visual appeal high tha Brazil.,14,1,Positive
Delivery time sahi tha.,12,1,Positive
Mujhe product ki quality pasand nahi aayi Brazil.,2,2,Neutral
The product's roadmaps are unclear and unpredictable.,1,1,Positive
Repeated errors diminish trust in the product.,3,2,Neutral
Problem solve karne mein der hui.,4,2,Neutral
Upcoming changes might worsen the situation.,4,2,Neutral
Quality thoda behtar ho sakti thi.,7,0,Negative
Customer support is difficult to access and unprofessional.,9,1,Positive
Show ke actors ne apna best diya Canada.,14,1,Positive
Product price kam hona chahiye tha.,4,2,Neutral
Nice post explaining complicated topic in simple words thanks for sharing!,14,1,Positive
Low priority given to user feedback and complaints.,9,2,Neutral
I'm frustrated with the terms and conditions.,4,2,Neutral
Show ki editing thodi better ho sakti thi Pakistan.,6,0,Negative
Movie ke scenes emotionally impactful the South Africa.,14,1,Positive
Service thik thi.,7,0,Negative
the packaging is good and the product looks just like the picture shown so would recommend,12,1,Positive
Deal ki customer service quick thi Pakistan.,14,1,Positive
Show ke costumes aur set design ne kahani ko enhance kiya Canada.,14,1,Positive
Kafi acha laga.,13,1,Positive
Kharab service ne bahut pareshan kiya.,1,2,Neutral
Product price kam hona chahiye tha.,4,2,Neutral
Post ki language clear aur concise thi Germany.,14,1,Positive
Deal se mujhe fayda hua USA.,14,1,Positive
Satisfied with the purchase.,14,1,Positive
Post ka design attractive tha Canada.,14,1,Positive
Deal ki shipping thodi der se hui Pakistan.,6,0,Negative
Quality average thi.,7,0,Negative
Show mein suspense ki kami thi Pakistan.,4,2,Neutral
Thoda bekaar product mila.,2,2,Neutral
Technical problems are persistent and unresolved.,2,2,Neutral
Thoda delay hua delivery mein.,6,0,Negative
Slow and inefficient processes encountered.,3,2,Neutral
kew niyen na nosto product sell kore beiman kth	kar,7,0,Negative
Price is too high for the quality offered.,3,2,Neutral
Movie ka pace thoda slow tha South Korea.,6,0,Negative
Delivery thodi der se hui.,5,0,Negative
Product mujhe pasand nahi aya.,2,2,Neutral
User experience has deteriorated significantly.,3,2,Neutral
baje product box packaging valo chilo na and dan kaner airpods ta nosto kichu sona jai na,7,0,Negative
Deal ki customer service responsive thi Pakistan.,14,1,Positive
Show ke costumes aur makeup realistic lage bohot pasand kiya Italy.,14,1,Positive
"alhamdullah onk valo products sound quality onk valo budget er modde sera products delivery man er bebohar o onk valo cilo
thanks daraz",10,1,Positive
Delivery samay par huyi.,14,1,Positive
Kharab packaging ke kaaran product damage ho gaya.,2,2,Neutral
Product mujhe pasand nahi aya.,2,2,Neutral
Post par mila unwanted spam USA.,2,2,Neutral
Movie ki length thodi lambi lagi USA.,5,0,Negative
Post ka design creative tha. Australia.,14,1,Positive
Support team ne madad nahi ki.,2,2,Neutral
Deal mein hidden charges the Canada.,2,2,Neutral
Show ke dialogues emotional aur impactful the UK.,14,1,Positive
good got the best but but the packaging is very bad,4,2,Neutral
Maine apne dost ke liye ye product kharida unhone bataya price thoda zyada tha.,5,0,Negative
sound quality marattok price hisabe bass valo 2 hour age hathe paisi jokhn unbox krsilm 70 chrg silo,7,0,Negative
Show ka direcciÃ³n behtar ho sakta tha thoda disappointing tha Australia.,3,2,Neutral
Movie ka climax suspenseful aur thrilling tha India.,14,1,Positive
Post par mila unwanted spam USA.,2,2,Neutral
Deal ki price thodi zyada thi UK.,5,0,Negative
Shipping cost zyada tha.,4,2,Neutral
Customer support rude tha.,1,2,Neutral
Post ke content ne new perspective diya Australia.,14,1,Positive
Deal par aaye discounts bahut laabhdayak the UK.,14,1,Positive
Customers often told conflicting information.,2,2,Neutral
Movie ka music kaafi praised hua USA.,14,1,Positive
Deal ki shipping thodi late hui par product quality sahi thi USA.,12,1,Positive
Show ka ending thoda predictable tha nayi twist ki kami thi South Africa.,6,0,Negative
amar ata open hoy nah,6,2,Neutral
Product ki delivery timely hui.,14,1,Positive
Product theek tha.,8,0,Negative
Deal ki validity kam thi India.,2,2,Neutral
Post par mila deal bahut hi acha tha India.,14,1,Positive
airbud ta bhaloicharge motamoti onek khon thakebut delivery onek slow chilo,7,0,Negative
Deal ki price reasonable thi customer khush tha Australia.,14,1,Positive
Support communication needs to be improved.,3,2,Neutral
Many features are unreliable or unstable.,2,2,Neutral
product vlo alhumdullah sob tik tak shobai nite paren delevery o onek taratari paici jemon dekci tik temon paici ato vlo jenis pabo ai takai vabte pari nai,5,2,Neutral
Delivery time par thi par packaging thodi kharab thi.,0,0,Negative
Delay hone ki wajah se frustration hua.,3,2,Neutral
valoi cholchhe charge thake onek khon,7,0,Negative
Movie ki acting thodi flat lagi zyada emotion missing tha USA.,5,0,Negative
Movie ke kuch dialogues thode bekar lage lekin overall acha tha USA.,5,0,Negative
Movie ke pacing mein balance tha story ne hold kiya pura dhyan USA.,14,1,Positive
Nice product overall.,13,1,Positive
Deal ki shipping thodi der se hui Pakistan.,6,0,Negative
Many technical problems cause frequent disruptions in work.,6,0,Negative
Show ke episodes engaging the har episode ne interest banaye rakha France.,14,1,Positive
Movie ki story thodi clichÃ©d thi lekin performances ne usse bacha liya Pakistan.,5,0,Negative
Bohot kharab experience tha purchase process ka.,1,2,Neutral
Movie ke dialogues meaningful the kahani good flow mein thi India.,14,1,Positive
earbuds quality is really good,10,1,Positive
Product ki specification bilkul sahi thi.,14,1,Positive
valo asee product jemon dam oi rkm kaj kore deklam use base quality ade mota moti,7,0,Negative
Quality has degraded noticeably over the last month.,3,2,Neutral
Promises were made but never fulfilled.,3,2,Neutral
Deal ka customer support madadgar tha Australia.,14,1,Positive
alhamdulliah onek valo akta product kinto order korecilam kalo colour peyeci sada ta tarporeo ato kom dam ee onek valo akta product peyeci,7,0,Negative
Mujhe product bilkul pasand aaya.,14,1,Positive
Issues frequently recur without resolution.,3,2,Neutral
Show ke costumes traditional aur sundar the India.,14,1,Positive
Product ke size mein fark tha.,6,0,Negative
Product ka color mujhe bahut pasand aaya.,14,1,Positive
alhamdulillah valo sobai nite paren,7,0,Negative
vlo sound quality nite paren 320 takay vlo chilo,7,0,Negative
Guidance provided is often contradictory.,4,2,Neutral
Show ki direction mehengi lagi Pakistan.,5,0,Negative
The overall service experience is disappointing.,4,2,Neutral
Shipment time delay tha.,4,2,Neutral
Worst experience ever do not buy!,2,2,Neutral
Deal ki price thodi zyada thi better offer ki umeed thi.,2,2,Neutral
Service quality thoda better ho sakti thi.,6,0,Negative
Quality mujhe expected se better lagi.,14,1,Positive
Kafi acha laga.,13,1,Positive
Post ki caption innovative thi logon ka reaction positive tha Brazil.,14,1,Positive
Bahut hi kharab experience.,1,2,Neutral
Post ka presentation modern aur attractive tha Australia.,14,1,Positive
Deal ki price reasonable thi overall customer satisfied tha Australia.,14,1,Positive
Post ki caption bahut interesting thi Australia.,14,1,Positive
Movie ka background score bohot impactful tha misaal ke taur par South Africa.,14,1,Positive
Show ki storyline kaafi old-fashioned thi India.,4,2,Neutral
Telegram update timely mila information clear thi Singapore.,14,1,Positive
Post ka design creative tha Australia.,14,1,Positive
Show ka screenplay weak tha confusing tha Australia.,2,2,Neutral
Product return process complicated tha customers unhappy the.,2,2,Neutral
Delivery mein late hone se pareshaani hui.,3,2,Neutral
Post ki language clear aur concise thi Germany.,14,1,Positive
alhamdullah valo paichijeta caicilam oitay paichi,7,0,Negative
Item defective tha disappointed.,2,2,Neutral
Staff bohot rude tha disappointed.,1,2,Neutral
Movie ka storyline bahut zabardast tha South Africa.,14,1,Positive
akta bud nosto silo rerunkore disi,7,0,Negative
Post par mila deal bahut hi acha tha India.,14,1,Positive
Product ki design bohot hi acchi hai Panama.,14,1,Positive
Service support is hard to access and slow.,2,2,Neutral
Chhota sa issue tha baaki sab thik tha.,7,0,Negative
Film ka climax predictable tha mujhe thodi disappointment hui.,3,2,Neutral
Overall badhiya product hai.,14,1,Positive
Movie ki pace kabhi kabhi slow thi par narrative linear tha.,0,0,Negative
The overall atmosphere was really disappointing.,3,2,Neutral
Delivery jaldi hui khush hu.,14,1,Positive
Movie ke execution mein thodi kami thi India.,6,0,Negative
Bohot time laga delivery mein.,4,2,Neutral
sound quality valo but products quality akdom kharip r packaging kotha ki bolbo akdom kharip cilo tar karon ami age pement korcilam hoi to tar jonno hoita pare,7,0,Negative
Quality average thi.,7,0,Negative
Item defective tha.,2,2,Neutral
Product packaging strong aur secure thi.,1,1,Positive
Product ka color thoda different tha.,6,0,Negative
Show ke jokes aur dialogues entertaining the Australia.,14,1,Positive
Post manage karne mein thodi dikkat hui Brazil.,4,2,Neutral
Long waiting times for resolution.,2,2,Neutral
Movie ne audience ko entertain kiya kaafi cheers mile UK.,14,1,Positive
Post ki writing simple aur clear thi UK.,14,1,Positive
The bugs overshadow the features offered.,3,2,Neutral
Show ka overall impact positive tha enjoy kiya France.,14,1,Positive
Customer support ne bahut acha support diya.,13,1,Positive
same to same paichionek sundor product sound quality onek valobesss o valo dey,7,0,Negative
The product did not meet my expectations.,2,2,Neutral
Post ka message mujhe motivate kar gaya USA.,14,1,Positive
product order deoar 2 din pore pelum product onek bhalo packaging ta dekhe bhalo mone hocche beboharer por bakita bolajabe,7,0,Negative
Mujhe delivery mein thoda delay mila.,6,0,Negative
Movie ka background score kamaal ka tha UK.,14,1,Positive
Movie ka pacing thoda slow tha Pakistan.,0,0,Negative
Post ka design attractive tha Canada.,14,1,Positive
Show ki storyline purani lagi thoda predictable tha India.,4,2,Neutral
Post ki photos kaafi creative thi USA.,14,1,Positive
Post ki content style bohot pasand aayi informative thi Australia.,14,1,Positive
Show ki storyline thodi complex thi samajhna mushkil Australia.,4,2,Neutral
Deal ki pricing fair aur affordable thi Canada.,14,1,Positive
Price thoda zyada tha.,5,0,Negative
Post ka interface user-friendly tha USA.,14,1,Positive
Post ka message clear aur samajhne layak tha Canada.,14,1,Positive
product ta onk vlo apnara caila nita paran,7,0,Negative
Movie ke characters realistic the USA.,14,1,Positive
Thik hai use kar sakte hain.,7,0,Negative
Post par di gayi information helpful lagi Brazil.,13,1,Positive
Product defective tha disappointed.,2,2,Neutral
Show mein comedy zaroori thi achhi lagi USA.,14,1,Positive
Deal ke delivery time se khush tha timely aaya Australia.,14,1,Positive
Product faulty nikla pareshan hua.,2,2,Neutral
Show ke jokes bohot funny the Australia.,14,1,Positive
The product met my expectations.,13,1,Positive
Post mein thodi hatt ke baatein thi Australia.,7,0,Negative
15 din er moto use korlamairpods valoi but anc kaj kortece naki sure na tobe original airpods er moto onno features kaj kortece overall valo,11,1,Positive
onek valosound quality o onk sundorkane onk khn porle bethao hoynanite paren,7,0,Negative
Post ka design creative tha. Australia.,14,1,Positive
Deal mein hidden charges nikal aaye UK.,2,2,Neutral
Post ka visual appeal high tha Brazil.,14,1,Positive
Delivery mein koi problem nahi thi.,14,1,Positive
Deal se milne wala product quality sahi thi khush hu main Brazil.,14,1,Positive
Movie ke soundtrack ne birhant kiya South Africa.,14,1,Positive
Abhi tak sab kuch acha hai delivery tezi se hui aur product bhi perfect mila.,14,1,Positive
Customer service is one of the weakest points.,4,2,Neutral
The service improvements seem superficial at best.,3,2,Neutral
Deal ki price reasonable thi purchase karna sahi decision tha USA.,14,1,Positive
Product defective mila customer disappointed tha.,2,2,Neutral
Disheartening level of service quality.,3,2,Neutral
Post par mila deal bahut hi acha tha India.,14,1,Positive
Deal ko lene ki process complicated thi US.,2,2,Neutral
Movie ki length thodi lambi lagi USA.,5,0,Negative
Customer satisfaction declines due to unresolved bugs.,3,2,Neutral
Show ki storyline predictable thi Pakistan.,4,2,Neutral
Show ke last episode disappointing tha.,2,2,Neutral
Amazing packaging!,14,1,Positive
Achha hai yeh post ideas bilkul naye aur creative hain.,14,1,Positive
overall valoi specially sound quality is satisfying,10,1,Positive
Movie ne mujhe pura entertain kiya Brazil.,13,1,Positive
Kuch samajh nahi aaya.,7,0,Negative
Product mujhe bilkul pasand nahi aaya.,1,2,Neutral
Post ki photos quality kaafi achhi thi share karna pasand kiya France.,14,1,Positive
motamoti valo dan kaner tar sound khubi valo kintu bam kaner ta beshi ekta valo na,7,0,Negative
Movie ne audience ka dil jeet liya South Africa.,14,1,Positive
earbuds ta onk valobt packaging ta amr kase valo lage nibasi chap porse product tar upor,7,0,Negative
Support teams are slow to respond and provide solutions.,5,0,Negative
order korlam kunta ar dilen kuntaby the wayproduct ta valoi ase,7,0,Negative
Kabhi nahi kharidungaa.,2,2,Neutral
Mujhe deal nahi pasand aayi Singapore.,1,2,Neutral
Deal mein kuch hidden charges nikalke aaye thoda niraash hua Thailand.,2,2,Neutral
Movie ka music outstanding tha sabko pasand aaya Canada.,14,1,Positive
Show ke locations visually appealing thay picturesque the India.,14,1,Positive
Customer service thoda aur improve honi chahiye.,5,0,Negative
Post ki language user-friendly aur informative thi USA.,14,1,Positive
Loved the design and build quality.,14,1,Positive
Post manage karne mein thodi dikkat hui Brazil.,4,2,Neutral
Delivery mein problem hui.,4,2,Neutral
Post ka visual appeal high tha Brazil.,14,1,Positive
Movie ke execution mein thodi kami thi India.,6,0,Negative
Service delays are routine and problematic.,3,2,Neutral
Movie ke music ne mood banaya background score bohot acha tha UK.,14,1,Positive
Quality thoda behtar ho sakti thi.,7,0,Negative
Product size thoda chhota tha.,6,0,Negative
Film ka direction outstanding tha audience ne appreciate kiya.,1,1,Positive
Satisfied with the purchase.,13,1,Positive
jmon asa korsi temon na,7,0,Negative
Movie ka climax bohot thrilling tha mujhe bohot pasand aaya USA.,14,1,Positive
Price kam hona chahiye tha.,4,2,Neutral
Movie ki pace slow thi patience chahiye tha Pakistan.,6,0,Negative
quality valo e dekhlam akhon use kora dekhi kemon service day,7,0,Negative
Price reasonable tha.,14,1,Positive
Deal ka customer service madadgar tha Australia.,14,1,Positive
Service outages are frustrating and uncommunicated.,3,2,Neutral
Poor customer support ne pareshani badha di.,2,2,Neutral
akdom baje kau tk nosto korben na,7,0,Negative
onk valo ekti product chaile nissondehe nite paren,7,0,Negative
Show ke songs mazedaar the Australia.,14,1,Positive
"valoi dam dishabe khub valo
sterio sound valoi lage valo bass dite pare",7,0,Negative
"anc kaaj kore naplus charger o kaaj korena
overall daam onujai kharap na sound bhalo alhamdulillah",7,0,Negative
Post par milne wala response achha tha Brazil.,14,1,Positive
Product specifications accurate hain Croatia.,14,1,Positive
Repeated letdowns with customer service.,3,2,Neutral
Price thoda high par quality worthy thi.,1,1,Positive
Post par bila doubt helpful information di gayi thi.,1,1,Positive
Show ke acting mein thoda improvement chahiye. Pakistan,4,2,Neutral
Constant glitches affecting my daily usage.,3,2,Neutral
alhamdulillah amr onek vlo lagce ekhn vlo service dilei holo,7,0,Negative
Product thoda mehenga laga.,6,0,Negative
Delivery ke status ki updates timely mili.,1,1,Positive
Product ki quality dheemi hai.,3,2,Neutral
Kharab service di gayi.,1,2,Neutral
Kabhi nahi kharidungaa.,2,2,Neutral
Repeated service failures lower customer loyalty.,4,2,Neutral
Product defective tha disappointed.,2,2,Neutral
3diner modde hate pelem donnobad daraz,2,2,Neutral
valo podak taka onojai valo apnara caile nite paren,7,0,Negative
Deal ki shipping late hui lekin product safe pahucha Pakistan.,6,0,Negative
Deal ki delivery fast thi Pakistan.,14,1,Positive
mota moti valo ar akto valo hole kosi hotam r hay kan beta,7,0,Negative
Sab kuch thik tha.,8,0,Negative
Post mein thodi hatt ke baatein thi Australia.,7,0,Negative
Post ki language clear aur concise thi Germany.,14,1,Positive
Deal mein kuch hidden charges mile disappointed hua UK.,2,2,Neutral
Package kharab tha par product achha tha.,3,2,Neutral
Movie ke kuch scenes logical flaws ki wajah se weak lage.,2,2,Neutral
Product defective tha bohot niraash hua.,1,2,Neutral
Movie ki storytelling clear thi lekin thoda predictable thi UK.,6,0,Negative
Post ke content mein thoda originality kami thi Pakistan.,4,2,Neutral
Show ka plot thoda confusing tha USA.,5,0,Negative
Bahut hi bekaar quality.,1,2,Neutral
Product review sachchi aur detailed thi business ka point of view dikh raha tha.,14,1,Positive
Design bahut pasand aaya.,14,1,Positive
Customer support ne help nahi ki.,1,2,Neutral
Deal ko lene ki process complicated thi USA.,2,2,Neutral
Deal ka delivery time thoda late tha par product bilkul sahi tha UK.,7,0,Negative
Service kaafi achhi thi.,13,1,Positive
Deal mein refunds process easy tha India.,14,1,Positive
Post font aur layout readable tha Australia.,14,1,Positive
Deal ki shipping thodi late thi Pakistan.,6,0,Negative
shob theke best eta ami ageo onek gula kinchi daraz theke kintu etar moto ek taw pai nai best product forever thanks selar eto bhalo product deoyar jonno,13,1,Positive
quality nai order disi white dise black,7,0,Negative
Post ki caption bahut interesting thi Australia.,14,1,Positive
Show mein à¤•à¥à¤› dull moments à¤¥à¥‡ à¤¸à¤¸à¥à¤ªà¥‡à¤‚à¤¸ à¤•à¤® à¤¥à¤¾ USA.,5,0,Negative
product valo nite paren kom bugdet e valo device but charge backup valo na,7,0,Negative
Post par milne wala feedback kaafi acha tha Australia.,14,1,Positive
Product size thoda chhota tha.,6,0,Negative
Show ke storyline mein thoda suspense kam tha India.,7,0,Negative
Movie mein dialogues thode kamzor the Pakistan.,5,0,Negative
Customer service kaafi achhi thi.,14,1,Positive
Movie ka music bohot pasand aaya har track melodic tha USA.,14,1,Positive
Packaging thoda better hota to accha hota.,6,0,Negative
The entire experience has been a major disappointment.,3,2,Neutral
Deal ke terms samajh mein nahi aaye. Australia.,2,2,Neutral
